,Year,Month,Neighborhood,Assault,Burglary,Arrest,Disturbance,Robbery,zvhi
0,2010,1,Alki,0,0,0,0,0,516100.0
1,2011,1,Alki,0,4,0,10,0,468500.0
2,2012,1,Alki,1,3,0,12,0,461400.0
3,2013,1,Alki,0,2,0,11,0,495800.0
4,2014,1,Alki,1,2,0,13,0,556000.0
5,2015,1,Alki,1,4,0,6,0,583400.0
6,2010,2,Alki,0,0,0,0,0,515500.0
7,2011,2,Alki,0,0,0,6,0,467400.0
8,2012,2,Alki,0,4,1,14,0,460400.0
9,2013,2,Alki,0,5,0,6,0,500300.0
10,2014,2,Alki,0,2,0,9,0,558100.0
11,2015,2,Alki,0,3,0,12,1,589900.0
12,2010,3,Alki,0,0,0,0,0,510700.0
13,2011,3,Alki,0,0,1,3,0,466900.0
14,2012,3,Alki,0,4,0,14,0,461700.0
15,2013,3,Alki,0,0,0,0,0,505200.0
16,2014,3,Alki,2,3,0,16,0,559600.0
17,2015,3,Alki,1,4,0,18,0,601600.0
18,2010,4,Alki,0,0,0,0,0,504500.0
19,2011,4,Alki,5,3,0,23,0,467500.0
20,2012,4,Alki,2,3,0,19,0,464900.0
21,2013,4,Alki,0,0,0,0,0,510100.0
22,2014,4,Alki,2,2,0,20,2,561300.0
23,2015,4,Alki,1,1,1,21,0,614100.0
24,2010,5,Alki,0,0,0,0,0,502000.0
25,2011,5,Alki,1,1,1,23,0,467800.0
26,2012,5,Alki,3,1,0,22,0,468300.0
27,2013,5,Alki,0,0,0,0,0,515500.0
28,2014,5,Alki,1,1,0,35,1,562500.0
29,2015,5,Alki,2,4,1,38,3,621200.0
30,2010,6,Alki,0,0,0,0,0,499900.0
31,2011,6,Alki,1,2,2,29,3,466400.0
32,2012,6,Alki,3,3,0,37,0,471700.0
33,2013,6,Alki,0,0,0,0,0,522200.0
34,2014,6,Alki,3,1,1,42,3,564100.0
35,2015,6,Alki,3,2,0,56,3,624000.0
36,2010,7,Alki,1,7,1,19,0,496400.0
37,2011,7,Alki,2,1,1,50,0,462500.0
38,2012,7,Alki,4,2,2,70,0,474800.0
39,2013,7,Alki,0,0,0,0,0,530500.0
40,2014,7,Alki,4,3,1,68,0,564700.0
41,2015,7,Alki,2,5,0,62,0,628700.0
42,2010,8,Alki,3,5,1,30,0,492300.0
43,2011,8,Alki,3,6,1,27,0,460400.0
44,2012,8,Alki,1,7,2,61,0,478300.0
45,2013,8,Alki,0,0,0,0,0,536600.0
46,2014,8,Alki,0,3,0,30,0,565900.0
47,2015,8,Alki,1,3,0,41,0,632600.0
48,2010,9,Alki,2,3,2,14,0,487600.0
49,2011,9,Alki,0,4,4,25,0,461200.0
50,2012,9,Alki,0,2,0,23,0,482100.0
51,2013,9,Alki,0,0,0,0,0,540900.0
52,2014,9,Alki,1,2,0,14,0,566300.0
53,2015,9,Alki,1,1,0,18,0,635600.0
54,2010,10,Alki,2,3,1,10,0,481300.0
55,2011,10,Alki,0,4,2,11,1,462300.0
56,2012,10,Alki,2,5,0,14,0,486400.0
57,2013,10,Alki,1,5,0,5,0,545300.0
58,2014,10,Alki,0,4,0,16,0,568500.0
59,2010,11,Alki,2,2,2,9,0,475400.0
60,2011,11,Alki,0,6,0,8,0,462100.0
61,2012,11,Alki,0,5,0,8,0,490000.0
62,2013,11,Alki,1,1,0,9,0,550200.0
63,2014,11,Alki,1,3,0,4,0,573100.0
64,2010,12,Alki,0,3,1,10,0,471000.0
65,2011,12,Alki,0,4,0,5,0,462500.0
66,2012,12,Alki,0,5,0,10,0,492700.0
67,2013,12,Alki,2,13,0,5,0,553500.0
68,2014,12,Alki,0,1,0,8,0,578100.0
69,2010,1,Arbor Heights,0,0,0,0,0,335100.0
70,2011,1,Arbor Heights,0,6,0,5,0,320700.0
71,2012,1,Arbor Heights,1,1,0,4,1,302200.0
72,2013,1,Arbor Heights,0,7,2,2,1,333000.0
73,2014,1,Arbor Heights,2,1,0,2,0,379800.0
74,2015,1,Arbor Heights,1,3,0,3,0,394100.0
75,2010,2,Arbor Heights,0,0,0,0,0,335600.0
76,2011,2,Arbor Heights,0,1,0,0,0,318200.0
77,2012,2,Arbor Heights,0,2,2,3,0,303200.0
78,2013,2,Arbor Heights,0,6,2,2,0,335500.0
79,2014,2,Arbor Heights,1,2,0,2,0,384400.0
80,2015,2,Arbor Heights,0,3,0,5,0,394100.0
81,2010,3,Arbor Heights,0,0,0,0,0,336300.0
82,2011,3,Arbor Heights,0,1,0,7,0,314300.0
83,2012,3,Arbor Heights,0,4,1,5,0,303500.0
84,2013,3,Arbor Heights,0,0,0,0,0,339800.0
85,2014,3,Arbor Heights,0,1,0,3,0,388400.0
86,2015,3,Arbor Heights,0,9,0,5,0,395300.0
87,2010,4,Arbor Heights,0,0,0,0,0,337700.0
88,2011,4,Arbor Heights,0,6,0,5,1,310600.0
89,2012,4,Arbor Heights,0,5,0,4,0,303500.0
90,2013,4,Arbor Heights,0,0,0,0,0,345100.0
91,2014,4,Arbor Heights,0,1,0,5,0,389900.0
92,2015,4,Arbor Heights,0,2,0,2,0,399000.0
93,2010,5,Arbor Heights,0,0,0,0,0,338200.0
94,2011,5,Arbor Heights,0,5,2,3,0,307800.0
95,2012,5,Arbor Heights,1,2,0,8,0,305200.0
96,2013,5,Arbor Heights,0,0,0,0,0,351200.0
97,2014,5,Arbor Heights,0,2,0,6,0,388500.0
98,2015,5,Arbor Heights,0,2,0,7,0,404900.0
99,2010,6,Arbor Heights,0,0,0,0,0,335700.0
100,2011,6,Arbor Heights,1,3,0,4,0,306000.0
101,2012,6,Arbor Heights,2,8,0,12,0,308100.0
102,2013,6,Arbor Heights,0,0,0,0,0,358100.0
103,2014,6,Arbor Heights,0,1,0,17,0,386400.0
104,2015,6,Arbor Heights,0,3,0,5,0,411000.0
105,2010,7,Arbor Heights,0,1,0,3,0,331000.0
106,2011,7,Arbor Heights,2,5,0,14,0,305700.0
107,2012,7,Arbor Heights,1,7,0,20,0,311600.0
108,2013,7,Arbor Heights,0,0,0,0,0,363000.0
109,2014,7,Arbor Heights,0,3,0,7,1,384800.0
110,2015,7,Arbor Heights,1,4,0,13,0,415100.0
111,2010,8,Arbor Heights,0,2,2,7,0,326700.0
112,2011,8,Arbor Heights,2,6,1,11,1,305900.0
113,2012,8,Arbor Heights,1,9,1,22,0,315300.0
114,2013,8,Arbor Heights,0,0,0,0,0,367200.0
115,2014,8,Arbor Heights,0,2,0,4,0,383500.0
116,2015,8,Arbor Heights,0,3,0,13,0,418200.0
117,2010,9,Arbor Heights,0,3,0,6,0,324300.0
118,2011,9,Arbor Heights,1,4,0,11,0,305800.0
119,2012,9,Arbor Heights,0,5,0,8,0,319000.0
120,2013,9,Arbor Heights,0,0,0,0,0,371300.0
121,2014,9,Arbor Heights,0,2,0,6,0,383000.0
122,2015,9,Arbor Heights,0,1,0,7,0,420900.0
123,2010,10,Arbor Heights,0,2,1,2,0,323600.0
124,2011,10,Arbor Heights,0,8,0,2,0,304500.0
125,2012,10,Arbor Heights,0,8,1,1,0,322800.0
126,2013,10,Arbor Heights,0,11,0,2,0,374100.0
127,2014,10,Arbor Heights,0,2,0,2,0,385100.0
128,2010,11,Arbor Heights,0,2,1,11,1,323100.0
129,2011,11,Arbor Heights,0,5,0,0,0,302800.0
130,2012,11,Arbor Heights,1,5,0,12,0,327100.0
131,2013,11,Arbor Heights,0,2,1,2,0,374800.0
132,2014,11,Arbor Heights,0,1,0,4,0,389700.0
133,2010,12,Arbor Heights,0,6,0,7,0,322000.0
134,2011,12,Arbor Heights,1,3,0,3,0,301800.0
135,2012,12,Arbor Heights,1,12,1,3,0,331000.0
136,2013,12,Arbor Heights,0,6,0,3,0,376200.0
137,2014,12,Arbor Heights,0,8,0,4,0,393200.0
138,2010,1,Ballard,0,0,0,0,0,342300.0
139,2011,1,Ballard,7,4,5,32,0,321800.0
140,2012,1,Ballard,7,2,1,43,0,318600.0
141,2013,1,Ballard,8,10,3,41,1,346600.0
142,2014,1,Ballard,9,7,1,24,2,378200.0
143,2015,1,Ballard,4,13,0,35,1,406800.0
144,2010,2,Ballard,0,0,0,0,0,343900.0
145,2011,2,Ballard,4,2,2,20,2,318600.0
146,2012,2,Ballard,8,5,2,47,0,319200.0
147,2013,2,Ballard,6,9,2,29,1,346900.0
148,2014,2,Ballard,4,14,0,41,0,381200.0
149,2015,2,Ballard,7,10,0,62,1,414900.0
150,2010,3,Ballard,0,0,0,0,0,344300.0
151,2011,3,Ballard,0,5,5,28,0,314100.0
152,2012,3,Ballard,6,5,4,56,0,320800.0
153,2013,3,Ballard,0,0,0,0,0,347600.0
154,2014,3,Ballard,3,5,1,27,0,387200.0
155,2015,3,Ballard,6,5,0,48,2,426900.0
156,2010,4,Ballard,0,0,0,0,0,343500.0
157,2011,4,Ballard,3,4,5,46,0,311100.0
158,2012,4,Ballard,7,7,2,47,0,322800.0
159,2013,4,Ballard,0,0,0,0,0,350600.0
160,2014,4,Ballard,2,11,1,33,0,391400.0
161,2015,4,Ballard,8,15,1,76,0,438000.0
162,2010,5,Ballard,0,0,0,0,0,341600.0
163,2011,5,Ballard,2,7,3,61,1,310900.0
164,2012,5,Ballard,5,9,4,50,1,324400.0
165,2013,5,Ballard,0,0,0,0,0,356000.0
166,2014,5,Ballard,10,20,0,42,1,390500.0
167,2015,5,Ballard,9,14,0,83,0,443800.0
168,2010,6,Ballard,0,0,0,0,0,339100.0
169,2011,6,Ballard,11,9,3,38,0,312600.0
170,2012,6,Ballard,9,5,4,61,1,325700.0
171,2013,6,Ballard,0,0,0,0,0,360500.0
172,2014,6,Ballard,8,11,0,55,1,389900.0
173,2015,6,Ballard,7,11,1,84,0,444400.0
174,2010,7,Ballard,2,1,4,28,0,336200.0
175,2011,7,Ballard,2,14,3,60,0,314500.0
176,2012,7,Ballard,5,10,3,74,0,327800.0
177,2013,7,Ballard,0,0,0,0,0,362800.0
178,2014,7,Ballard,7,10,0,48,4,392500.0
179,2015,7,Ballard,8,18,2,93,0,447000.0
180,2010,8,Ballard,10,7,8,90,0,333200.0
181,2011,8,Ballard,8,9,2,69,1,315700.0
182,2012,8,Ballard,12,7,4,94,1,331400.0
183,2013,8,Ballard,0,0,0,0,0,364800.0
184,2014,8,Ballard,7,26,2,46,1,393900.0
185,2015,8,Ballard,5,10,0,77,1,452000.0
186,2010,9,Ballard,7,8,6,82,0,330400.0
187,2011,9,Ballard,1,4,2,61,1,316400.0
188,2012,9,Ballard,4,5,3,62,0,334600.0
189,2013,9,Ballard,0,0,0,0,0,367100.0
190,2014,9,Ballard,6,10,1,47,0,395200.0
191,2015,9,Ballard,10,16,1,61,0,457200.0
192,2010,10,Ballard,6,5,3,74,1,328500.0
193,2011,10,Ballard,5,7,4,54,1,316600.0
194,2012,10,Ballard,8,6,2,53,1,337800.0
195,2013,10,Ballard,5,12,0,43,0,369600.0
196,2014,10,Ballard,7,24,0,63,2,399600.0
197,2010,11,Ballard,4,10,5,31,0,326400.0
198,2011,11,Ballard,5,6,2,19,0,317400.0
199,2012,11,Ballard,1,7,2,39,0,342100.0
200,2013,11,Ballard,5,8,2,44,0,372500.0
201,2014,11,Ballard,5,14,2,37,1,403100.0
202,2010,12,Ballard,2,10,2,46,0,324200.0
203,2011,12,Ballard,4,5,2,26,0,318400.0
204,2012,12,Ballard,0,4,1,42,1,345300.0
205,2013,12,Ballard,12,9,1,40,0,375600.0
206,2014,12,Ballard,5,4,0,34,0,403400.0
207,2010,1,Beacon Hill,0,0,0,0,0,318900.0
208,2011,1,Beacon Hill,0,15,3,21,4,301300.0
209,2012,1,Beacon Hill,4,17,1,17,1,266700.0
210,2013,1,Beacon Hill,2,6,2,17,0,295100.0
211,2014,1,Beacon Hill,4,22,2,22,3,352400.0
212,2015,1,Beacon Hill,2,9,0,10,0,365200.0
213,2010,2,Beacon Hill,0,0,0,0,0,320000.0
214,2011,2,Beacon Hill,2,5,1,15,0,297300.0
215,2012,2,Beacon Hill,3,17,1,14,2,266500.0
216,2013,2,Beacon Hill,2,3,4,21,4,298200.0
217,2014,2,Beacon Hill,1,15,0,12,0,355000.0
218,2015,2,Beacon Hill,2,8,0,25,4,365400.0
219,2010,3,Beacon Hill,0,0,0,0,0,320700.0
220,2011,3,Beacon Hill,1,4,2,9,0,292000.0
221,2012,3,Beacon Hill,5,8,2,24,1,269100.0
222,2013,3,Beacon Hill,0,0,0,0,0,301700.0
223,2014,3,Beacon Hill,2,27,0,17,2,356100.0
224,2015,3,Beacon Hill,2,7,0,15,0,370600.0
225,2010,4,Beacon Hill,0,0,0,0,0,321600.0
226,2011,4,Beacon Hill,3,13,10,19,0,287200.0
227,2012,4,Beacon Hill,8,10,7,23,3,273700.0
228,2013,4,Beacon Hill,0,0,0,0,0,305400.0
229,2014,4,Beacon Hill,3,17,0,15,4,356800.0
230,2015,4,Beacon Hill,2,8,0,21,1,378900.0
231,2010,5,Beacon Hill,0,1,0,0,0,321800.0
232,2011,5,Beacon Hill,2,10,4,30,0,283700.0
233,2012,5,Beacon Hill,3,11,1,23,2,278300.0
234,2013,5,Beacon Hill,0,0,0,0,0,309800.0
235,2014,5,Beacon Hill,1,20,0,26,3,357400.0
236,2015,5,Beacon Hill,2,10,0,24,1,385200.0
237,2010,6,Beacon Hill,0,0,0,0,0,320100.0
238,2011,6,Beacon Hill,6,12,5,31,6,280400.0
239,2012,6,Beacon Hill,2,17,3,26,4,281400.0
240,2013,6,Beacon Hill,0,0,0,0,0,315500.0
241,2014,6,Beacon Hill,4,16,1,24,3,358000.0
242,2015,6,Beacon Hill,2,4,1,19,4,390000.0
243,2010,7,Beacon Hill,1,5,3,12,3,316700.0
244,2011,7,Beacon Hill,3,11,1,43,3,277700.0
245,2012,7,Beacon Hill,1,10,4,25,5,282500.0
246,2013,7,Beacon Hill,0,0,0,0,0,321200.0
247,2014,7,Beacon Hill,1,16,0,32,3,357800.0
248,2015,7,Beacon Hill,2,3,0,33,2,398600.0
249,2010,8,Beacon Hill,4,13,2,57,8,313200.0
250,2011,8,Beacon Hill,2,9,1,21,4,274800.0
251,2012,8,Beacon Hill,4,3,0,28,6,283700.0
252,2013,8,Beacon Hill,0,0,0,0,0,326100.0
253,2014,8,Beacon Hill,4,8,1,30,2,358200.0
254,2015,8,Beacon Hill,3,3,1,23,1,404300.0
255,2010,9,Beacon Hill,2,9,9,35,2,311200.0
256,2011,9,Beacon Hill,1,12,5,24,3,272800.0
257,2012,9,Beacon Hill,5,5,3,19,3,285900.0
258,2013,9,Beacon Hill,0,0,0,0,0,331100.0
259,2014,9,Beacon Hill,1,4,0,9,2,359100.0
260,2015,9,Beacon Hill,0,1,1,25,2,406900.0
261,2010,10,Beacon Hill,5,9,5,29,1,310000.0
262,2011,10,Beacon Hill,2,14,1,25,5,271500.0
263,2012,10,Beacon Hill,3,6,3,17,4,288400.0
264,2013,10,Beacon Hill,3,27,0,21,3,336600.0
265,2014,10,Beacon Hill,2,8,0,14,0,360300.0
266,2010,11,Beacon Hill,3,12,3,26,0,307800.0
267,2011,11,Beacon Hill,0,21,3,9,2,270000.0
268,2012,11,Beacon Hill,0,7,5,14,6,290900.0
269,2013,11,Beacon Hill,0,18,0,17,1,342200.0
270,2014,11,Beacon Hill,1,14,0,14,1,362100.0
271,2010,12,Beacon Hill,3,17,2,18,8,304400.0
272,2011,12,Beacon Hill,4,11,9,18,9,268200.0
273,2012,12,Beacon Hill,1,10,5,19,1,293100.0
274,2013,12,Beacon Hill,2,25,1,20,2,347900.0
275,2014,12,Beacon Hill,0,11,0,13,0,363900.0
276,2010,1,Belltown,1,0,0,0,0,321300.0
277,2011,1,Belltown,39,28,51,217,10,296900.0
278,2012,1,Belltown,44,26,23,193,10,264900.0
279,2013,1,Belltown,37,39,39,223,5,300400.0
280,2014,1,Belltown,36,14,16,155,8,343900.0
281,2015,1,Belltown,20,12,7,144,5,379600.0
282,2010,2,Belltown,0,0,0,0,1,320800.0
283,2011,2,Belltown,25,4,21,92,2,296300.0
284,2012,2,Belltown,34,8,28,198,8,264700.0
285,2013,2,Belltown,16,10,38,184,8,303700.0
286,2014,2,Belltown,26,9,12,148,5,345900.0
287,2015,2,Belltown,21,12,4,138,1,383400.0
288,2010,3,Belltown,0,0,0,1,0,320700.0
289,2011,3,Belltown,28,20,34,116,8,298200.0
290,2012,3,Belltown,30,15,21,238,8,265600.0
291,2013,3,Belltown,0,0,0,0,0,307700.0
292,2014,3,Belltown,31,17,16,146,10,348600.0
293,2015,3,Belltown,27,24,4,154,6,382500.0
294,2010,4,Belltown,0,0,0,0,0,320500.0
295,2011,4,Belltown,25,23,37,201,12,297400.0
296,2012,4,Belltown,48,14,19,245,5,268200.0
297,2013,4,Belltown,0,0,0,0,0,312000.0
298,2014,4,Belltown,28,9,12,172,4,354100.0
299,2015,4,Belltown,21,19,5,120,4,377700.0
300,2010,5,Belltown,0,0,0,1,0,321300.0
301,2011,5,Belltown,28,12,35,268,8,290800.0
302,2012,5,Belltown,26,14,29,230,7,271900.0
303,2013,5,Belltown,0,0,0,0,0,315300.0
304,2014,5,Belltown,24,13,2,188,10,359700.0
305,2015,5,Belltown,21,38,5,179,4,377300.0
306,2010,6,Belltown,0,0,0,0,0,317800.0
307,2011,6,Belltown,27,4,35,223,6,282500.0
308,2012,6,Belltown,35,17,21,237,7,275700.0
309,2013,6,Belltown,0,0,0,0,0,318500.0
310,2014,6,Belltown,26,11,4,175,3,365400.0
311,2015,6,Belltown,23,33,0,197,5,382800.0
312,2010,7,Belltown,19,14,17,118,4,310900.0
313,2011,7,Belltown,37,17,35,306,10,275200.0
314,2012,7,Belltown,65,23,46,347,9,280500.0
315,2013,7,Belltown,0,0,0,1,0,322000.0
316,2014,7,Belltown,25,19,9,193,15,370500.0
317,2015,7,Belltown,31,22,8,174,5,388100.0
318,2010,8,Belltown,31,18,57,227,10,305000.0
319,2011,8,Belltown,37,22,31,270,12,271300.0
320,2012,8,Belltown,37,15,39,283,4,285300.0
321,2013,8,Belltown,0,1,0,2,0,325500.0
322,2014,8,Belltown,17,8,2,191,8,373500.0
323,2015,8,Belltown,21,16,4,242,5,392500.0
324,2010,9,Belltown,39,22,45,232,6,302500.0
325,2011,9,Belltown,49,16,28,267,12,269100.0
326,2012,9,Belltown,38,18,43,264,7,288500.0
327,2013,9,Belltown,0,0,0,1,0,329900.0
328,2014,9,Belltown,21,3,1,132,6,374500.0
329,2015,9,Belltown,32,20,14,210,7,396100.0
330,2010,10,Belltown,48,13,56,204,9,301100.0
331,2011,10,Belltown,46,20,26,258,9,267800.0
332,2012,10,Belltown,26,21,45,225,9,291500.0
333,2013,10,Belltown,24,24,25,157,7,335200.0
334,2014,10,Belltown,31,21,5,164,4,376100.0
335,2010,11,Belltown,20,9,28,141,8,301100.0
336,2011,11,Belltown,27,6,25,136,4,267100.0
337,2012,11,Belltown,38,23,31,190,9,294700.0
338,2013,11,Belltown,36,8,25,183,7,338800.0
339,2014,11,Belltown,22,17,6,160,7,377300.0
340,2010,12,Belltown,27,28,38,154,10,300500.0
341,2011,12,Belltown,39,25,32,211,8,265800.0
342,2012,12,Belltown,30,32,41,190,9,297600.0
343,2013,12,Belltown,39,8,25,159,7,341300.0
344,2014,12,Belltown,25,13,4,126,1,377700.0
345,2010,1,Bitter Lake,0,0,0,0,0,303600.0
346,2011,1,Bitter Lake,1,12,5,37,0,281000.0
347,2012,1,Bitter Lake,6,11,8,44,1,249900.0
348,2013,1,Bitter Lake,5,13,8,38,1,320500.0
349,2014,1,Bitter Lake,3,9,1,42,2,335100.0
350,2015,1,Bitter Lake,2,11,0,33,1,366500.0
351,2010,2,Bitter Lake,0,0,0,0,0,304400.0
352,2011,2,Bitter Lake,4,9,5,17,1,278700.0
353,2012,2,Bitter Lake,5,12,6,21,0,251200.0
354,2013,2,Bitter Lake,1,4,4,17,2,323600.0
355,2014,2,Bitter Lake,4,7,1,24,5,336200.0
356,2015,2,Bitter Lake,4,5,2,32,1,366800.0
357,2010,3,Bitter Lake,0,0,0,0,0,304800.0
358,2011,3,Bitter Lake,2,5,6,30,1,276600.0
359,2012,3,Bitter Lake,5,8,9,41,2,253900.0
360,2013,3,Bitter Lake,0,0,0,0,0,324600.0
361,2014,3,Bitter Lake,2,8,5,32,4,339900.0
362,2015,3,Bitter Lake,3,7,1,36,3,371400.0
363,2010,4,Bitter Lake,0,0,0,0,0,304600.0
364,2011,4,Bitter Lake,5,13,7,28,2,273200.0
365,2012,4,Bitter Lake,5,6,5,41,1,259100.0
366,2013,4,Bitter Lake,0,0,0,0,0,322200.0
367,2014,4,Bitter Lake,1,11,0,34,0,345900.0
368,2015,4,Bitter Lake,6,4,1,41,1,377600.0
369,2010,5,Bitter Lake,0,0,0,0,0,302900.0
370,2011,5,Bitter Lake,5,10,8,34,1,270500.0
371,2012,5,Bitter Lake,3,10,1,24,2,267000.0
372,2013,5,Bitter Lake,0,0,0,0,0,317900.0
373,2014,5,Bitter Lake,2,11,1,51,3,350400.0
374,2015,5,Bitter Lake,5,11,1,53,1,381300.0
375,2010,6,Bitter Lake,0,0,0,0,0,299900.0
376,2011,6,Bitter Lake,2,13,4,38,0,267900.0
377,2012,6,Bitter Lake,4,6,6,29,0,276500.0
378,2013,6,Bitter Lake,0,0,0,0,0,315400.0
379,2014,6,Bitter Lake,2,15,1,46,1,353200.0
380,2015,6,Bitter Lake,10,14,3,48,3,383700.0
381,2010,7,Bitter Lake,3,6,6,23,0,294900.0
382,2011,7,Bitter Lake,7,11,4,49,1,264400.0
383,2012,7,Bitter Lake,5,14,8,71,3,284800.0
384,2013,7,Bitter Lake,0,0,0,0,0,317000.0
385,2014,7,Bitter Lake,2,8,0,51,1,355700.0
386,2015,7,Bitter Lake,5,11,2,45,1,388000.0
387,2010,8,Bitter Lake,6,4,8,73,2,290200.0
388,2011,8,Bitter Lake,4,13,5,51,1,260100.0
389,2012,8,Bitter Lake,9,4,0,46,4,291600.0
390,2013,8,Bitter Lake,0,0,0,0,0,319800.0
391,2014,8,Bitter Lake,3,6,2,42,1,359000.0
392,2015,8,Bitter Lake,8,7,1,54,1,390500.0
393,2010,9,Bitter Lake,5,9,4,60,0,287700.0
394,2011,9,Bitter Lake,7,13,8,54,0,256600.0
395,2012,9,Bitter Lake,4,5,9,45,0,296100.0
396,2013,9,Bitter Lake,0,0,0,0,0,323300.0
397,2014,9,Bitter Lake,3,7,3,25,3,361500.0
398,2015,9,Bitter Lake,6,6,2,46,1,392000.0
399,2010,10,Bitter Lake,4,15,6,39,0,287500.0
400,2011,10,Bitter Lake,5,17,3,50,2,254300.0
401,2012,10,Bitter Lake,1,5,5,29,0,299800.0
402,2013,10,Bitter Lake,4,9,3,33,2,327600.0
403,2014,10,Bitter Lake,6,7,2,35,0,362900.0
404,2010,11,Bitter Lake,4,12,8,32,0,286700.0
405,2011,11,Bitter Lake,0,6,8,25,0,252600.0
406,2012,11,Bitter Lake,2,9,1,29,2,306100.0
407,2013,11,Bitter Lake,2,13,0,20,4,331500.0
408,2014,11,Bitter Lake,7,11,0,38,2,364100.0
409,2010,12,Bitter Lake,10,9,1,30,0,284400.0
410,2011,12,Bitter Lake,1,12,7,37,3,250700.0
411,2012,12,Bitter Lake,2,8,3,29,1,314100.0
412,2013,12,Bitter Lake,3,8,0,21,0,334000.0
413,2014,12,Bitter Lake,8,7,1,34,2,365500.0
414,2010,1,Brighton,0,0,0,0,0,291100.0
415,2011,1,Brighton,8,14,10,35,4,266000.0
416,2012,1,Brighton,6,9,4,35,5,228300.0
417,2013,1,Brighton,3,6,5,26,4,246300.0
418,2014,1,Brighton,2,11,0,36,1,289600.0
419,2015,1,Brighton,2,2,2,22,1,326600.0
420,2010,2,Brighton,0,0,0,0,0,290300.0
421,2011,2,Brighton,3,5,5,9,2,263400.0
422,2012,2,Brighton,8,6,11,25,0,228400.0
423,2013,2,Brighton,3,1,9,17,1,250100.0
424,2014,2,Brighton,5,10,1,19,2,292000.0
425,2015,2,Brighton,1,7,0,21,0,326400.0
426,2010,3,Brighton,0,0,0,0,0,289300.0
427,2011,3,Brighton,2,7,2,21,3,259200.0
428,2012,3,Brighton,3,8,17,35,5,229400.0
429,2013,3,Brighton,0,0,0,0,0,253400.0
430,2014,3,Brighton,9,13,1,17,3,295400.0
431,2015,3,Brighton,2,15,2,34,1,328100.0
432,2010,4,Brighton,0,0,0,0,0,288600.0
433,2011,4,Brighton,2,7,10,25,1,254200.0
434,2012,4,Brighton,4,3,2,58,4,231400.0
435,2013,4,Brighton,0,0,0,0,0,256000.0
436,2014,4,Brighton,7,6,2,38,3,301600.0
437,2015,4,Brighton,3,20,1,24,0,331600.0
438,2010,5,Brighton,0,0,0,0,0,286900.0
439,2011,5,Brighton,0,1,7,14,2,249900.0
440,2012,5,Brighton,4,4,10,51,3,233800.0
441,2013,5,Brighton,0,0,0,0,0,259200.0
442,2014,5,Brighton,7,12,2,47,3,307600.0
443,2015,5,Brighton,3,8,1,34,2,337000.0
444,2010,6,Brighton,0,0,0,0,0,283900.0
445,2011,6,Brighton,5,6,4,25,3,245400.0
446,2012,6,Brighton,6,2,4,51,3,235700.0
447,2013,6,Brighton,0,0,0,0,0,265100.0
448,2014,6,Brighton,1,7,8,57,2,310300.0
449,2015,6,Brighton,4,5,2,48,3,344100.0
450,2010,7,Brighton,3,1,5,15,2,279700.0
451,2011,7,Brighton,4,5,12,52,1,242100.0
452,2012,7,Brighton,2,9,10,82,3,235800.0
453,2013,7,Brighton,0,0,0,0,0,271100.0
454,2014,7,Brighton,7,11,5,55,5,312600.0
455,2015,7,Brighton,2,7,3,57,2,351900.0
456,2010,8,Brighton,4,6,7,44,5,275300.0
457,2011,8,Brighton,6,5,13,68,5,238900.0
458,2012,8,Brighton,6,7,5,62,9,235500.0
459,2013,8,Brighton,0,0,0,0,0,276000.0
460,2014,8,Brighton,4,10,1,37,4,316600.0
461,2015,8,Brighton,6,5,1,57,4,356800.0
462,2010,9,Brighton,6,11,7,37,3,272400.0
463,2011,9,Brighton,3,7,11,47,3,236300.0
464,2012,9,Brighton,6,10,12,51,4,235900.0
465,2013,9,Brighton,0,0,0,0,0,279200.0
466,2014,9,Brighton,4,8,1,30,0,320300.0
467,2015,9,Brighton,2,3,0,28,1,358800.0
468,2010,10,Brighton,3,12,10,30,6,271200.0
469,2011,10,Brighton,3,7,7,41,3,233800.0
470,2012,10,Brighton,5,11,6,30,6,237700.0
471,2013,10,Brighton,4,10,3,25,2,281400.0
472,2014,10,Brighton,5,14,3,26,4,322000.0
473,2010,11,Brighton,0,8,7,19,3,269800.0
474,2011,11,Brighton,2,11,5,26,4,231200.0
475,2012,11,Brighton,5,10,3,39,0,240300.0
476,2013,11,Brighton,6,14,2,21,11,282700.0
477,2014,11,Brighton,2,6,0,20,1,324300.0
478,2010,12,Brighton,2,13,8,21,4,267600.0
479,2011,12,Brighton,6,12,5,50,4,229100.0
480,2012,12,Brighton,5,4,2,23,6,243300.0
481,2013,12,Brighton,2,9,0,26,1,285800.0
482,2014,12,Brighton,3,1,0,16,1,326300.0
483,2010,1,Broadview,0,0,0,0,0,445100.0
484,2011,1,Broadview,0,7,3,12,0,406800.0
485,2012,1,Broadview,1,7,0,10,0,400400.0
486,2013,1,Broadview,2,8,2,5,0,432200.0
487,2014,1,Broadview,0,9,0,4,1,498400.0
488,2015,1,Broadview,0,6,0,8,0,524700.0
489,2010,2,Broadview,0,0,0,0,0,446500.0
490,2011,2,Broadview,0,6,0,6,0,405100.0
491,2012,2,Broadview,1,5,0,11,0,402900.0
492,2013,2,Broadview,0,8,0,10,2,437800.0
493,2014,2,Broadview,0,2,0,3,0,497800.0
494,2015,2,Broadview,0,8,0,8,0,528400.0
495,2010,3,Broadview,0,0,0,0,0,444100.0
